Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;99;Partnership Develoment Manager Brazil (English Mandatory);Brasília (DF);02/08 10:00;https://www.linkedin.com/jobs/view/4436729550/;https://media.licdn.com/dms/image/v2/D4D0BAQGvkxxN_jUX3Q/company-logo_100_100/company-logo_100_100/0/1719800835083/99app_logo?e=1787184000&v=beta&t=NKabnbQz15teNsUg5X0FIK6hnOlh3FfZJDrRWZL6x1c;Middle > Manager;https://www.linkedin.com/company/99/about/;Transporte e Mobilidade;99 OR (A.P. AND Moller AND Maersk) OR Adecco OR (Adecco AND Permanent AND Recruitment) OR Airbnb OR Ambev OR Amazon OR (Arcos AND Dorados) OR (Astemo AND Ltd.) OR Booking.coM OR (C&A AND Brasil) OR (DHL AND Express) OR (DHL AND Global AND ForwardinG) OR (DHL AND Supply AND Chain) OR (End AND Total) OR Gazin OR (GOL AND Linhas AND Aéreas) OR (Hyundai AND Glovis AND Brasil AND Logística) OR iFood OR Ipiranga OR (Leroy AND Merlin) OR Localiza OR (Lojas AND Renner) OR Magalu OR (Magazine AND Luiza) OR McDonald's OR (OVS AND S.p.A.) OR Porto OR (Ri AND Happy) OR SHEIN OR Shopee OR (Smart AND Fit) OR Uber OR (Volvo AND Group);99;1;;https://www.linkedin.com/jobs/view/4436729550/;https://www.linkedin.com/jobs/view/4436729550/;Hybrid;Liderança/Gerência;03/08/2026;;Distrito Federal;DF;Região Centro-Oeste;Brasil;América do Sul
2;99;Partnership Develoment Manager Brazil (English Mandatory);Grande São Paulo (SP) ;02/08 10:00;https://www.linkedin.com/jobs/view/4436728583/;https://media.licdn.com/dms/image/v2/D4D0BAQGvkxxN_jUX3Q/company-logo_100_100/company-logo_100_100/0/1719800835083/99app_logo?e=1787184000&v=beta&t=NKabnbQz15teNsUg5X0FIK6hnOlh3FfZJDrRWZL6x1c;Middle > Manager;https://www.linkedin.com/company/99/about/;Transporte e Mobilidade;99 OR (A.P. AND Moller AND Maersk) OR Adecco OR (Adecco AND Permanent AND Recruitment) OR Airbnb OR Ambev OR Amazon OR (Arcos AND Dorados) OR (Astemo AND Ltd.) OR Booking.coM OR (C&A AND Brasil) OR (DHL AND Express) OR (DHL AND Global AND ForwardinG) OR (DHL AND Supply AND Chain) OR (End AND Total) OR Gazin OR (GOL AND Linhas AND Aéreas) OR (Hyundai AND Glovis AND Brasil AND Logística) OR iFood OR Ipiranga OR (Leroy AND Merlin) OR Localiza OR (Lojas AND Renner) OR Magalu OR (Magazine AND Luiza) OR McDonald's OR (OVS AND S.p.A.) OR Porto OR (Ri AND Happy) OR SHEIN OR Shopee OR (Smart AND Fit) OR Uber OR (Volvo AND Group);99;1;;https://www.linkedin.com/jobs/view/4436728583/;https://www.linkedin.com/jobs/view/4436728583/;Hybrid;Liderança/Gerência;03/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
3;99;Regional Operations Coordinator;Grande São Paulo (SP) ;02/08 10:00;https://www.linkedin.com/jobs/view/4448179786/;https://media.licdn.com/dms/image/v2/D4D0BAQGvkxxN_jUX3Q/company-logo_100_100/company-logo_100_100/0/1719800835083/99app_logo?e=1787184000&v=beta&t=NKabnbQz15teNsUg5X0FIK6hnOlh3FfZJDrRWZL6x1c;-;https://www.linkedin.com/company/99/about/;Software e Serviços de TI;99 OR (A.P. AND Moller AND Maersk) OR Adecco OR (Adecco AND Permanent AND Recruitment) OR Airbnb OR Ambev OR Amazon OR (Arcos AND Dorados) OR (Astemo AND Ltd.) OR Booking.coM OR (C&A AND Brasil) OR (DHL AND Express) OR (DHL AND Global AND ForwardinG) OR (DHL AND Supply AND Chain) OR (End AND Total) OR Gazin OR (GOL AND Linhas AND Aéreas) OR (Hyundai AND Glovis AND Brasil AND Logística) OR iFood OR Ipiranga OR (Leroy AND Merlin) OR Localiza OR (Lojas AND Renner) OR Magalu OR (Magazine AND Luiza) OR McDonald's OR (OVS AND S.p.A.) OR Porto OR (Ri AND Happy) OR SHEIN OR Shopee OR (Smart AND Fit) OR Uber OR (Volvo AND Group);99;1;;https://www.linkedin.com/jobs/view/4448179786/;https://www.linkedin.com/jobs/view/4448179786/;Hybrid;Mid;03/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
4;A.P. Moller - Maersk;Estagiário(a) de Contas a Receber - Santos;Santos (SP);03/08 02:00;https://www.linkedin.com/jobs/view/4437492082/;https://media.licdn.com/dms/image/v2/C4D0BAQFxaOJ8VzplhA/company-logo_100_100/company-logo_100_100/0/1630463556967/maersk_group_logo?e=1787184000&v=beta&t=79SAYzdsNYEX7zo9d1Ke8XmQ1wbPYwSLjIbSbz5l04A;-;https://www.linkedin.com/company/a-p-moller-maersk/about/;-;99 OR (A.P. AND Moller AND Maersk) OR Adecco OR (Adecco AND Permanent AND Recruitment) OR Airbnb OR Ambev OR Amazon OR (Arcos AND Dorados) OR (Astemo AND Ltd.) OR Booking.coM OR (C&A AND Brasil) OR (DHL AND Express) OR (DHL AND Global AND ForwardinG) OR (DHL AND Supply AND Chain) OR (End AND Total) OR Gazin OR (GOL AND Linhas AND Aéreas) OR (Hyundai AND Glovis AND Brasil AND Logística) OR iFood OR Ipiranga OR (Leroy AND Merlin) OR Localiza OR (Lojas AND Renner) OR Magalu OR (Magazine AND Luiza) OR McDonald's OR (OVS AND S.p.A.) OR Porto OR (Ri AND Happy) OR SHEIN OR Shopee OR (Smart AND Fit) OR Uber OR (Volvo AND Group);a.p. moller - maersk;1;;https://www.linkedin.com/jobs/view/4437492082/;https://www.linkedin.com/jobs/view/4437492082/;On-site;Intern;03/08/2026;Santos;São Paulo;SP;Região Sudeste;Brasil;América do Sul
5;ABF Developments;Analista de Qualidade Júnior - Porto Alegre - Cadastre-Se para a Vaga;Porto Alegre (RS);02/08 10:00;https://www.linkedin.com/jobs/view/4445849061/;https://media.licdn.com/dms/image/v2/C4D0BAQF2l6buvmzFsw/company-logo_100_100/company-logo_100_100/0/1671048476791/abfdevelopments_logo?e=1787184000&v=beta&t=PZFFqb-ydPD8QhEYEsPah3JJqK2bTGo8fQ_0881oWyA;Advanced > Specialist;https://www.linkedin.com/company/abf-developments/about/;-;99 OR (A.P. AND Moller AND Maersk) OR Adecco OR (Adecco AND Permanent AND Recruitment) OR Airbnb OR Ambev OR Amazon OR (Arcos AND Dorados) OR (Astemo AND Ltd.) OR Booking.coM OR (C&A AND Brasil) OR (DHL AND Express) OR (DHL AND Global AND ForwardinG) OR (DHL AND Supply AND Chain) OR (End AND Total) OR Gazin OR (GOL AND Linhas AND Aéreas) OR (Hyundai AND Glovis AND Brasil AND Logística) OR iFood OR Ipiranga OR (Leroy AND Merlin) OR Localiza OR (Lojas AND Renner) OR Magalu OR (Magazine AND Luiza) OR McDonald's OR (OVS AND S.p.A.) OR Porto OR (Ri AND Happy) OR SHEIN OR Shopee OR (Smart AND Fit) OR Uber OR (Volvo AND Group);abf developments;1;;https://www.linkedin.com/jobs/view/4445849061/;https://www.linkedin.com/jobs/view/4445849061/;On-site;Junior, Associate;03/08/2026;Porto Alegre;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
6;ABF Developments;Analista de Qualidade Júnior - Processo de Seleção;Porto Alegre (RS);02/08 10:00;https://www.linkedin.com/jobs/view/4445838249/;https://media.licdn.com/dms/image/v2/C4D0BAQF2l6buvmzFsw/company-logo_100_100/company-logo_100_100/0/1671048476791/abfdevelopments_logo?e=1787184000&v=beta&t=PZFFqb-ydPD8QhEYEsPah3JJqK2bTGo8fQ_0881oWyA;Advanced > Specialist;https://www.linkedin.com/company/abf-developments/about/;-;99 OR (A.P. AND Moller AND Maersk) OR Adecco OR (Adecco AND Permanent AND Recruitment) OR Airbnb OR Ambev OR Amazon OR (Arcos AND Dorados) OR (Astemo AND Ltd.) OR Booking.coM OR (C&A AND Brasil) OR (DHL AND Express) OR (DHL AND Global AND ForwardinG) OR (DHL AND Supply AND Chain) OR (End AND Total) OR Gazin OR (GOL AND Linhas AND Aéreas) OR (Hyundai AND Glovis AND Brasil AND Logística) OR iFood OR Ipiranga OR (Leroy AND Merlin) OR Localiza OR (Lojas AND Renner) OR Magalu OR (Magazine AND Luiza) OR McDonald's OR (OVS AND S.p.A.) OR Porto OR (Ri AND Happy) OR SHEIN OR Shopee OR (Smart AND Fit) OR Uber OR (Volvo AND Group);abf developments;1;;https://www.linkedin.com/jobs/view/4445838249/;https://www.linkedin.com/jobs/view/4445838249/;On-site;Junior, Associate;03/08/2026;Porto Alegre;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
7;Alleader Contabilidade Gerencial;Analista fiscal;Porto Alegre (RS);03/08 08:00;https://www.linkedin.com/jobs/view/4446207435/;https://media.licdn.com/dms/image/v2/D4D0BAQFXIevsOv_IjA/company-logo_100_100/company-logo_100_100/0/1706116806199/alleader_contabilidade_gerencial_logo?e=1787184000&v=beta&t=NDU-jETMT0DBpEOju21pDoPdaW7dEma9ALmeda34wAw;Advanced > Specialist;https://www.linkedin.com/company/alleader-contabilidade-gerencial/about/;-;99 OR (A.P. AND Moller AND Maersk) OR Adecco OR (Adecco AND Permanent AND Recruitment) OR Airbnb OR Ambev OR Amazon OR (Arcos AND Dorados) OR (Astemo AND Ltd.) OR Booking.coM OR (C&A AND Brasil) OR (DHL AND Express) OR (DHL AND Global AND ForwardinG) OR (DHL AND Supply AND Chain) OR (End AND Total) OR Gazin OR (GOL AND Linhas AND Aéreas) OR (Hyundai AND Glovis AND Brasil AND Logística) OR iFood OR Ipiranga OR (Leroy AND Merlin) OR Localiza OR (Lojas AND Renner) OR Magalu OR (Magazine AND Luiza) OR McDonald's OR (OVS AND S.p.A.) OR Porto OR (Ri AND Happy) OR SHEIN OR Shopee OR (Smart AND Fit) OR Uber OR (Volvo AND Group);alleader contabilidade gerencial;1;;https://www.linkedin.com/jobs/view/4446207435/;https://www.linkedin.com/jobs/view/4446207435/;On-site;Associate, Financeiro/Fiscal;03/08/2026;Porto Alegre;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
8;Bibi Calçados;Consultor(A)De Vendas Bibi Shopping Iguatemi - Porto Alegre - Cadastre-Se para a Vaga;Porto Alegre (RS);02/08 10:00;https://www.linkedin.com/jobs/view/4445850009/;https://media.licdn.com/dms/image/v2/C4E0BAQFXVX0jiL6dyA/company-logo_100_100/company-logo_100_100/0/1631341829497?e=1787184000&v=beta&t=Zq6afEOrWYgaHrePF-X4PN6eBky0VbCga2fXAZaBw80;Advanced > Specialist;https://www.linkedin.com/company/bibi-cal-ados/about/;Vendas e Suporte;99 OR (A.P. AND Moller AND Maersk) OR Adecco OR (Adecco AND Permanent AND Recruitment) OR Airbnb OR Ambev OR Amazon OR (Arcos AND Dorados) OR (Astemo AND Ltd.) OR Booking.coM OR (C&A AND Brasil) OR (DHL AND Express) OR (DHL AND Global AND ForwardinG) OR (DHL AND Supply AND Chain) OR (End AND Total) OR Gazin OR (GOL AND Linhas AND Aéreas) OR (Hyundai AND Glovis AND Brasil AND Logística) OR iFood OR Ipiranga OR (Leroy AND Merlin) OR Localiza OR (Lojas AND Renner) OR Magalu OR (Magazine AND Luiza) OR McDonald's OR (OVS AND S.p.A.) OR Porto OR (Ri AND Happy) OR SHEIN OR Shopee OR (Smart AND Fit) OR Uber OR (Volvo AND Group);bibi calçados;1;;https://www.linkedin.com/jobs/view/4445850009/;https://www.linkedin.com/jobs/view/4445850009/;On-site;Consultor, Vendas / Comercial;03/08/2026;Porto Alegre;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
9;Bibi Calçados;Consultor(A)De Vendas Bibi Shopping Iguatemi - Processo de Seleção;Porto Alegre (RS);02/08 10:00;https://www.linkedin.com/jobs/view/4445843069/;https://media.licdn.com/dms/image/v2/C4E0BAQFXVX0jiL6dyA/company-logo_100_100/company-logo_100_100/0/1631341829497?e=1787184000&v=beta&t=Zq6afEOrWYgaHrePF-X4PN6eBky0VbCga2fXAZaBw80;Advanced > Specialist;https://www.linkedin.com/company/bibi-cal-ados/about/;Vendas e Suporte;99 OR (A.P. AND Moller AND Maersk) OR Adecco OR (Adecco AND Permanent AND Recruitment) OR Airbnb OR Ambev OR Amazon OR (Arcos AND Dorados) OR (Astemo AND Ltd.) OR Booking.coM OR (C&A AND Brasil) OR (DHL AND Express) OR (DHL AND Global AND ForwardinG) OR (DHL AND Supply AND Chain) OR (End AND Total) OR Gazin OR (GOL AND Linhas AND Aéreas) OR (Hyundai AND Glovis AND Brasil AND Logística) OR iFood OR Ipiranga OR (Leroy AND Merlin) OR Localiza OR (Lojas AND Renner) OR Magalu OR (Magazine AND Luiza) OR McDonald's OR (OVS AND S.p.A.) OR Porto OR (Ri AND Happy) OR SHEIN OR Shopee OR (Smart AND Fit) OR Uber OR (Volvo AND Group);bibi calçados;1;;https://www.linkedin.com/jobs/view/4445843069/;https://www.linkedin.com/jobs/view/4445843069/;On-site;Consultor, Vendas / Comercial;03/08/2026;Porto Alegre;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
10;Bluelight;Software Engineer (Elixir/Phoenix) - Latin America (REMOTE);Porto Alegre (RS);02/08 18:00;https://www.linkedin.com/jobs/view/4448102845/;https://media.licdn.com/dms/image/v2/D560BAQFkfdCEwTiHtQ/company-logo_100_100/B56Z6968uoJQAM-/0/1781302807651/bluelightco_logo?e=1787184000&v=beta&t=6cPULz6n5dF4fO-WBIPWMFUQoR2bOisCrd8zSsFhAsY;Advanced > Information Technology;https://www.linkedin.com/company/bluelight/about/;Software e Serviços de TI;99 OR (A.P. AND Moller AND Maersk) OR Adecco OR (Adecco AND Permanent AND Recruitment) OR Airbnb OR Ambev OR Amazon OR (Arcos AND Dorados) OR (Astemo AND Ltd.) OR Booking.coM OR (C&A AND Brasil) OR (DHL AND Express) OR (DHL AND Global AND ForwardinG) OR (DHL AND Supply AND Chain) OR (End AND Total) OR Gazin OR (GOL AND Linhas AND Aéreas) OR (Hyundai AND Glovis AND Brasil AND Logística) OR iFood OR Ipiranga OR (Leroy AND Merlin) OR Localiza OR (Lojas AND Renner) OR Magalu OR (Magazine AND Luiza) OR McDonald's OR (OVS AND S.p.A.) OR Porto OR (Ri AND Happy) OR SHEIN OR Shopee OR (Smart AND Fit) OR Uber OR (Volvo AND Group);bluelight;1;;https://www.linkedin.com/jobs/view/4448102845/;https://www.linkedin.com/jobs/view/4448102845/;Remote;TI/Tech, Engenharia Geral;03/08/2026;Porto Alegre;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
11;BuscarVagas - Empregos Brasil;Vendedor Externo – Zona Norte de Porto Alegre – Canoas – RS;Canoas (RS);02/08 10:00;https://www.linkedin.com/jobs/view/4445822981/;https://media.licdn.com/dms/image/v2/D4D0BAQGegAuLcKhWMg/img-crop_100/B4DZrc3ndQIgAM-/0/1764642161116?e=1787184000&v=beta&t=fj684KD8HGm70MsON4d7U1H3McaFUonL6fgYwGBktxw;-;https://www.linkedin.com/company/buscarvagas-empregos-brasil/about/;Energia e Combustíveis;99 OR (A.P. AND Moller AND Maersk) OR Adecco OR (Adecco AND Permanent AND Recruitment) OR Airbnb OR Ambev OR Amazon OR (Arcos AND Dorados) OR (Astemo AND Ltd.) OR Booking.coM OR (C&A AND Brasil) OR (DHL AND Express) OR (DHL AND Global AND ForwardinG) OR (DHL AND Supply AND Chain) OR (End AND Total) OR Gazin OR (GOL AND Linhas AND Aéreas) OR (Hyundai AND Glovis AND Brasil AND Logística) OR iFood OR Ipiranga OR (Leroy AND Merlin) OR Localiza OR (Lojas AND Renner) OR Magalu OR (Magazine AND Luiza) OR McDonald's OR (OVS AND S.p.A.) OR Porto OR (Ri AND Happy) OR SHEIN OR Shopee OR (Smart AND Fit) OR Uber OR (Volvo AND Group);buscarvagas - empregos brasil;1;;https://www.linkedin.com/jobs/view/4445822981/;https://www.linkedin.com/jobs/view/4445822981/;On-site;Vendas / Comercial;03/08/2026;Canoas;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
12;BuscarVagas - Empregos Brasil;Assistente SAC – Porto Alegre – RS - Painel de Empregos;Ponte Preta (RS);03/08 05:00;https://www.linkedin.com/jobs/view/4445867790/;https://media.licdn.com/dms/image/v2/D4D0BAQGegAuLcKhWMg/img-crop_100/B4DZrc3ndQIgAM-/0/1764642161116?e=1787184000&v=beta&t=fj684KD8HGm70MsON4d7U1H3McaFUonL6fgYwGBktxw;-;https://www.linkedin.com/company/buscarvagas-empregos-brasil/about/;Energia e Combustíveis;99 OR (A.P. AND Moller AND Maersk) OR Adecco OR (Adecco AND Permanent AND Recruitment) OR Airbnb OR Ambev OR Amazon OR (Arcos AND Dorados) OR (Astemo AND Ltd.) OR Booking.coM OR (C&A AND Brasil) OR (DHL AND Express) OR (DHL AND Global AND ForwardinG) OR (DHL AND Supply AND Chain) OR (End AND Total) OR Gazin OR (GOL AND Linhas AND Aéreas) OR (Hyundai AND Glovis AND Brasil AND Logística) OR iFood OR Ipiranga OR (Leroy AND Merlin) OR Localiza OR (Lojas AND Renner) OR Magalu OR (Magazine AND Luiza) OR McDonald's OR (OVS AND S.p.A.) OR Porto OR (Ri AND Happy) OR SHEIN OR Shopee OR (Smart AND Fit) OR Uber OR (Volvo AND Group);buscarvagas - empregos brasil;1;;https://www.linkedin.com/jobs/view/4445867790/;https://www.linkedin.com/jobs/view/4445867790/;On-site;Associate;03/08/2026;Ponte Preta;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
13;BuscarVagas - Empregos Brasil;Advogada Trabalhista Experiência em Cálculo – Porto Alegre – RS;Porto Alegre (RS);03/08 05:00;https://www.linkedin.com/jobs/view/4445865878/;https://media.licdn.com/dms/image/v2/D4D0BAQGegAuLcKhWMg/img-crop_100/B4DZrc3ndQIgAM-/0/1764642161116?e=1787184000&v=beta&t=fj684KD8HGm70MsON4d7U1H3McaFUonL6fgYwGBktxw;-;https://www.linkedin.com/company/buscarvagas-empregos-brasil/about/;Energia e Combustíveis;99 OR (A.P. AND Moller AND Maersk) OR Adecco OR (Adecco AND Permanent AND Recruitment) OR Airbnb OR Ambev OR Amazon OR (Arcos AND Dorados) OR (Astemo AND Ltd.) OR Booking.coM OR (C&A AND Brasil) OR (DHL AND Express) OR (DHL AND Global AND ForwardinG) OR (DHL AND Supply AND Chain) OR (End AND Total) OR Gazin OR (GOL AND Linhas AND Aéreas) OR (Hyundai AND Glovis AND Brasil AND Logística) OR iFood OR Ipiranga OR (Leroy AND Merlin) OR Localiza OR (Lojas AND Renner) OR Magalu OR (Magazine AND Luiza) OR McDonald's OR (OVS AND S.p.A.) OR Porto OR (Ri AND Happy) OR SHEIN OR Shopee OR (Smart AND Fit) OR Uber OR (Volvo AND Group);buscarvagas - empregos brasil;1;;https://www.linkedin.com/jobs/view/4445865878/;https://www.linkedin.com/jobs/view/4445865878/;On-site;-;03/08/2026;Porto Alegre;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
14;BuscarVagas - Empregos Brasil;Advogado Junior – Porto Alegre – RS;Porto Alegre (RS);03/08 05:00;https://www.linkedin.com/jobs/view/4445866816/;https://media.licdn.com/dms/image/v2/D4D0BAQGegAuLcKhWMg/img-crop_100/B4DZrc3ndQIgAM-/0/1764642161116?e=1787184000&v=beta&t=fj684KD8HGm70MsON4d7U1H3McaFUonL6fgYwGBktxw;-;https://www.linkedin.com/company/buscarvagas-empregos-brasil/about/;Energia e Combustíveis;99 OR (A.P. AND Moller AND Maersk) OR Adecco OR (Adecco AND Permanent AND Recruitment) OR Airbnb OR Ambev OR Amazon OR (Arcos AND Dorados) OR (Astemo AND Ltd.) OR Booking.coM OR (C&A AND Brasil) OR (DHL AND Express) OR (DHL AND Global AND ForwardinG) OR (DHL AND Supply AND Chain) OR (End AND Total) OR Gazin OR (GOL AND Linhas AND Aéreas) OR (Hyundai AND Glovis AND Brasil AND Logística) OR iFood OR Ipiranga OR (Leroy AND Merlin) OR Localiza OR (Lojas AND Renner) OR Magalu OR (Magazine AND Luiza) OR McDonald's OR (OVS AND S.p.A.) OR Porto OR (Ri AND Happy) OR SHEIN OR Shopee OR (Smart AND Fit) OR Uber OR (Volvo AND Group);buscarvagas - empregos brasil;1;;https://www.linkedin.com/jobs/view/4445866816/;https://www.linkedin.com/jobs/view/4445866816/;On-site;Junior;03/08/2026;Porto Alegre;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
15;BuscarVagas - Empregos Brasil;Analista Fiscal;Porto Alegre (RS);03/08 05:00;https://www.linkedin.com/jobs/view/4445883696/;https://media.licdn.com/dms/image/v2/D4D0BAQGegAuLcKhWMg/img-crop_100/B4DZrc3ndQIgAM-/0/1764642161116?e=1787184000&v=beta&t=fj684KD8HGm70MsON4d7U1H3McaFUonL6fgYwGBktxw;Advanced > Specialist;https://www.linkedin.com/company/buscarvagas-empregos-brasil/about/;Energia e Combustíveis;99 OR (A.P. AND Moller AND Maersk) OR Adecco OR (Adecco AND Permanent AND Recruitment) OR Airbnb OR Ambev OR Amazon OR (Arcos AND Dorados) OR (Astemo AND Ltd.) OR Booking.coM OR (C&A AND Brasil) OR (DHL AND Express) OR (DHL AND Global AND ForwardinG) OR (DHL AND Supply AND Chain) OR (End AND Total) OR Gazin OR (GOL AND Linhas AND Aéreas) OR (Hyundai AND Glovis AND Brasil AND Logística) OR iFood OR Ipiranga OR (Leroy AND Merlin) OR Localiza OR (Lojas AND Renner) OR Magalu OR (Magazine AND Luiza) OR McDonald's OR (OVS AND S.p.A.) OR Porto OR (Ri AND Happy) OR SHEIN OR Shopee OR (Smart AND Fit) OR Uber OR (Volvo AND Group);buscarvagas - empregos brasil;1;;https://www.linkedin.com/jobs/view/4445883696/;https://www.linkedin.com/jobs/view/4445883696/;On-site;Associate, Financeiro/Fiscal;03/08/2026;Porto Alegre;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
16;BuscarVagas - Empregos Brasil;Analista de Departamento Pessoal – Urgente – Porto Alegre – RS;Porto Alegre (RS);02/08 10:00;https://www.linkedin.com/jobs/view/4445827933/;https://media.licdn.com/dms/image/v2/D4D0BAQGegAuLcKhWMg/img-crop_100/B4DZrc3ndQIgAM-/0/1764642161116?e=1787184000&v=beta&t=fj684KD8HGm70MsON4d7U1H3McaFUonL6fgYwGBktxw;Advanced > Specialist;https://www.linkedin.com/company/buscarvagas-empregos-brasil/about/;Energia e Combustíveis;99 OR (A.P. AND Moller AND Maersk) OR Adecco OR (Adecco AND Permanent AND Recruitment) OR Airbnb OR Ambev OR Amazon OR (Arcos AND Dorados) OR (Astemo AND Ltd.) OR Booking.coM OR (C&A AND Brasil) OR (DHL AND Express) OR (DHL AND Global AND ForwardinG) OR (DHL AND Supply AND Chain) OR (End AND Total) OR Gazin OR (GOL AND Linhas AND Aéreas) OR (Hyundai AND Glovis AND Brasil AND Logística) OR iFood OR Ipiranga OR (Leroy AND Merlin) OR Localiza OR (Lojas AND Renner) OR Magalu OR (Magazine AND Luiza) OR McDonald's OR (OVS AND S.p.A.) OR Porto OR (Ri AND Happy) OR SHEIN OR Shopee OR (Smart AND Fit) OR Uber OR (Volvo AND Group);buscarvagas - empregos brasil;1;;https://www.linkedin.com/jobs/view/4445827933/;https://www.linkedin.com/jobs/view/4445827933/;On-site;PCD / Afirmativa, Associate;03/08/2026;Porto Alegre;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
17;BuscarVagas - Empregos Brasil;Analista de Dp – Porto Alegre – RS;Porto Alegre (RS);03/08 05:00;https://www.linkedin.com/jobs/view/4445879668/;https://media.licdn.com/dms/image/v2/D4D0BAQGegAuLcKhWMg/img-crop_100/B4DZrc3ndQIgAM-/0/1764642161116?e=1787184000&v=beta&t=fj684KD8HGm70MsON4d7U1H3McaFUonL6fgYwGBktxw;Advanced > Specialist;https://www.linkedin.com/company/buscarvagas-empregos-brasil/about/;Energia e Combustíveis;99 OR (A.P. AND Moller AND Maersk) OR Adecco OR (Adecco AND Permanent AND Recruitment) OR Airbnb OR Ambev OR Amazon OR (Arcos AND Dorados) OR (Astemo AND Ltd.) OR Booking.coM OR (C&A AND Brasil) OR (DHL AND Express) OR (DHL AND Global AND ForwardinG) OR (DHL AND Supply AND Chain) OR (End AND Total) OR Gazin OR (GOL AND Linhas AND Aéreas) OR (Hyundai AND Glovis AND Brasil AND Logística) OR iFood OR Ipiranga OR (Leroy AND Merlin) OR Localiza OR (Lojas AND Renner) OR Magalu OR (Magazine AND Luiza) OR McDonald's OR (OVS AND S.p.A.) OR Porto OR (Ri AND Happy) OR SHEIN OR Shopee OR (Smart AND Fit) OR Uber OR (Volvo AND Group);buscarvagas - empregos brasil;1;;https://www.linkedin.com/jobs/view/4445879668/;https://www.linkedin.com/jobs/view/4445879668/;On-site;Associate;03/08/2026;Porto Alegre;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
18;BuscarVagas - Empregos Brasil;Analista de Logística – Porto Alegre – RS;Porto Alegre (RS);03/08 05:00;https://www.linkedin.com/jobs/view/4445881710/;https://media.licdn.com/dms/image/v2/D4D0BAQGegAuLcKhWMg/img-crop_100/B4DZrc3ndQIgAM-/0/1764642161116?e=1787184000&v=beta&t=fj684KD8HGm70MsON4d7U1H3McaFUonL6fgYwGBktxw;Advanced > Specialist;https://www.linkedin.com/company/buscarvagas-empregos-brasil/about/;Energia e Combustíveis;99 OR (A.P. AND Moller AND Maersk) OR Adecco OR (Adecco AND Permanent AND Recruitment) OR Airbnb OR Ambev OR Amazon OR (Arcos AND Dorados) OR (Astemo AND Ltd.) OR Booking.coM OR (C&A AND Brasil) OR (DHL AND Express) OR (DHL AND Global AND ForwardinG) OR (DHL AND Supply AND Chain) OR (End AND Total) OR Gazin OR (GOL AND Linhas AND Aéreas) OR (Hyundai AND Glovis AND Brasil AND Logística) OR iFood OR Ipiranga OR (Leroy AND Merlin) OR Localiza OR (Lojas AND Renner) OR Magalu OR (Magazine AND Luiza) OR McDonald's OR (OVS AND S.p.A.) OR Porto OR (Ri AND Happy) OR SHEIN OR Shopee OR (Smart AND Fit) OR Uber OR (Volvo AND Group);buscarvagas - empregos brasil;1;;https://www.linkedin.com/jobs/view/4445881710/;https://www.linkedin.com/jobs/view/4445881710/;On-site;Associate, Logística/Supply;03/08/2026;Porto Alegre;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
